population,treatment,replicate,tag,date,doy,pressure_bar,pressure_mpa
CF,Wet,1,CF 2-1,7/31/17,212,11.5,-1.1500000000000001
TL,Wet,1,TL 2-1,7/31/17,212,17.5,-1.75
SG,Wet,1,SG 2-1,7/31/17,212,12,-1.2000000000000002
CF,Dry,1,CF 1-1,7/31/17,212,13,-1.3
TL,Dry,1,TL 1-1,7/31/17,212,13,-1.3
SG,Dry,1,SG 1-1,7/31/17,212,11,-1.1
CF,Deep,1,CF 3-1,7/31/17,212,10.5,-1.05
TL,Deep,1,TL 3-1,7/31/17,212,13,-1.3
SG,Deep,1,SG 3-1,7/31/17,212,16,-1.6
CF,Wet,2,CF 2-2,7/31/17,212,15,-1.5
TL,Wet,2,TL 2-2,7/31/17,212,14,-1.4000000000000001
SG,Wet,2,SG 2-2,7/31/17,212,21,-2.1
CF,Dry,2,CF 1-2,7/31/17,212,17,-1.7000000000000002
TL,Dry,2,TL 1-2,7/31/17,212,14.5,-1.4500000000000002
SG,Dry,2,SG 1-2,7/31/17,212,14,-1.4000000000000001
CF,Deep,2,CF 3-2,7/31/17,212,14.5,-1.4500000000000002
TL,Deep,2,TL 3-2,7/31/17,212,9.5,-0.9500000000000001
SG,Deep,2,SG 3-2,7/31/17,212,16.5,-1.6500000000000001
CF,Wet,3,CF 2-3,7/31/17,212,14.5,-1.4500000000000002
TL,Wet,3,TL 2-3,7/31/17,212,12,-1.2000000000000002
SG,Wet,3,SG 2-3,7/31/17,212,17,-1.7000000000000002
CF,Dry,3,CF 1-3,7/31/17,212,15,-1.5
TL,Dry,3,TL 1-3,7/31/17,212,14,-1.4000000000000001
SG,Dry,3,SG 1-3,7/31/17,212,15.5,-1.55
CF,Deep,3,CF 3-3,7/31/17,212,17,-1.7000000000000002
TL,Deep,3,TL 3-3,7/31/17,212,13,-1.3
SG,Deep,3,SG 3-3,7/31/17,212,12,-1.2000000000000002
CF,Wet,4,CF 2-4,7/31/17,212,18,-1.8
TL,Wet,4,TL 2-4,7/31/17,212,14,-1.4000000000000001
SG,Wet,4,SG 2-4,7/31/17,212,11.5,-1.1500000000000001
CF,Dry,4,CF 1-4,7/31/17,212,15.5,-1.55
TL,Dry,4,TL 1-4,7/31/17,212,7.5,-0.75
SG,Dry,4,SG 1-4,7/31/17,212,9,-0.9
CF,Deep,4,CF 3-4,7/31/17,212,10,-1
TL,Deep,4,TL 3-4,7/31/17,212,15,-1.5
SG,Deep,4,SG 3-4,7/31/17,212,13.5,-1.35
CF,Wet,5,CF 2-5,7/31/17,212,11,-1.1
TL,Wet,5,TL 2-5,7/31/17,212,13,-1.3
SG,Wet,5,SG 2-5,7/31/17,212,8,-0.8
CF,Dry,5,CF 1-5,7/31/17,212,16,-1.6
TL,Dry,5,TL 1-5,7/31/17,212,12,-1.2000000000000002
SG,Dry,5,SG 1-5,7/31/17,212,15.5,-1.55
CF,Deep,5,CF 3-5,7/31/17,212,12.5,-1.25
TL,Deep,5,TL 3-5,7/31/17,212,13.5,-1.35
SG,Deep,5,SG 3-5,7/31/17,212,14,-1.4000000000000001
CF,Wet,6,CF 2-6,7/31/17,212,10.5,-1.05
TL,Wet,6,TL 2-6,7/31/17,212,14,-1.4000000000000001
SG,Wet,6,SG 2-6,7/31/17,212,12.5,-1.25
CF,Dry,6,CF 1-6,7/31/17,212,7.5,-0.75
