Population,Treatment,Treatment Name,Replicate,Sample ID,Tray #,Sample Type,SIL_ID#,Date Wrapped & Initials,Target (mg) Mass for d13C,Actual (mg) Mass for d13C,Tray Location,d13C
CF,1,Dry,1,CF 1-1,TL1,Unknown,2,JG 3/3/18,2  (±0.2),1.875,A2,-25.60
CF,1,Dry,2,CF 1-2,TL1,Unknown,3,JG 3/3/18,2  (±0.2),1.825,A3,-26.60
CF,1,Dry,5,CF 1-5,TL1,Unknown,4,JG 3/3/18,2  (±0.2),1.858,A4,-25.96
CF,2,Wet,2,CF 2-2,TL1,Unknown,5,JG 3/3/18,2  (±0.2),2.090,A5,-27.09
CF,2,Wet,3,CF 2-3,TL1,Unknown,6,JG 3/3/18,2  (±0.2),1.859,A6,-24.78
CF,2,Wet,5,CF 2-5,TL1,Unknown,7,JG 3/3/18,2  (±0.2),2.085,A7,-25.82
CF,3,Deep,3,CF 3-3,TL1,Unknown,8,JG 3/3/18,2  (±0.2),1.834,A8,-26.79
CF,3,Deep,4,CF 3-4,TL1,Unknown,9,JG 3/3/18,2  (±0.2),2.019,A9,-25.80
CF,3,Deep,6,CF 3-6,TL1,Unknown,10,JG 3/3/18,2  (±0.2),1.777,A10,-27.37
TL,1,Dry,2,TL 1-2,TL1,Unknown,13,JG 3/6/18,2  (±0.2),1.764,B1,-25.75
TL,1,Dry,5,TL 1-5,TL1,Unknown,14,JG 3/6/18,2  (±0.2),2.168,B2,-25.91
TL,1,Dry,6,TL 1-6,TL1,Unknown,15,JG 3/6/18,2  (±0.2),1.890,B3,-27.42
TL,2,Wet,1,TL 2-1,TL1,Unknown,16,JG 3/6/18,2  (±0.2),2.051,B4,-27.88
TL,2,Wet,2,TL 2-2,TL1,Unknown,17,JG 3/6/18,2  (±0.2),2.086,B5,-26.88
TL,2,Wet,5,TL 2-5,TL1,Unknown,18,JG 3/6/18,2  (±0.2),2.121,B6,-26.46
TL,3,Deep,2,TL 3-2,TL1,Unknown,19,JG 3/6/18,2  (±0.2),2.112,B7,-27.30
TL,3,Deep,6,TL 3-5,TL1,Unknown,20,JG 3/6/18,2  (±0.2),2.180,B8,-26.86
TL,3,Deep,5,TL 3-6,TL1,Unknown,21,JG 3/6/18,2  (±0.2),2.118,B9,-26.60
SG,1,Dry,1,SG 1-1,TL1,Unknown,22,JG 3/6/18,2  (±0.2),2.058,B10,-26.98
SG,1,Dry,2,SG 1-2,TL1,Unknown,25,JG 3/6/18,2  (±0.2),2.096,C1,-26.76
SG,1,Dry,4,SG 1-4,TL1,Unknown,26,JG 3/6/18,2  (±0.2),2.142,C2,-26.75
SG,2,Wet,1,SG 2-1,TL1,Unknown,27,JG 3/6/18,2  (±0.2),2.072,C3,-26.38
SG,2,Wet,4,SG 2-4,TL1,Unknown,28,JG 3/6/18,2  (±0.2),1.761,C4,-26.10
SG,2,Wet,6,SG 2-6,TL1,Unknown,29,JG 3/6/18,2  (±0.2),1.925,C5,-27.84
SG,3,Deep,1,SG 3-1,TL1,Unknown,30,JG 3/6/18,2  (±0.2),1.816,C6,-28.15
SG,3,Deep,2,SG 3-2,TL1,Unknown,31,JG 3/6/18,2  (±0.2),1.788,C7,-26.12
SG,3,Deep,3,SG 3-3,TL1,Unknown,32,JG 3/6/18,2  (±0.2),1.790,C8,-26.38
